location.name,location.region,location.country,location.lat,location.lon,location.tz_id,current.temp_c,current.temp_f,current.condition.text,current.condition.icon,current.wind_kph,current.pressure_in,current.precip_in,current.humidity,current.cloud,current.last_updated_epoch
Strand,Westminster Greater London,United Kingdom,51.508,-0.121,Europe/London,17.2,63.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,18.7,30.21,0.0,45,0,1775560500
Paris,Ile-de-France,France,48.867,2.333,Europe/Paris,19.4,66.9,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,14.0,30.18,0.0,52,0,1775561400
New York,New York,United States of America,40.714,-74.006,America/New_York,10.3,50.5,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.8,30.09,0.0,46,100,1775561400
Tokyo,Tokyo,Japan,35.69,139.692,Asia/Tokyo,12.3,54.1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,32.0,29.59,0.0,54,75,1775560500
Pyrmont,New South Wales,Australia,-33.869,151.194,Australia/Sydney,23.4,74.1,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,9.4,29.85,0.0,78,0,1775560500
Lapa,Rio de Janeiro,Brazil,-22.917,-43.183,America/Sao_Paulo,24.1,75.4,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.5,30.0,0.0,89,50,1775560500
Al Azbakiyah,Al Qahirah,Egypt,30.056,31.244,Africa/Cairo,21.0,69.8,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,20.9,30.12,0.0,46,50,1775560500
Москва,Moscow City,Russia,55.752,37.616,Europe/Moscow,6.4,43.5,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,15.1,29.47,0.0,70,62,1775560500
Beijing,Beijing,China,39.929,116.388,Asia/Shanghai,14.1,57.4,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,14.4,30.0,0.0,19,0,1775561400
Cooria,Maharashtra,India,19.083,72.883,Asia/Kolkata,30.2,86.4,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,22.7,29.85,0.0,62,50,1775561400
Berlin,Berlin,Germany,52.517,13.4,Europe/Berlin,9.3,48.7,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,18.7,30.3,0.0,57,75,1775560500
Rome,Lazio,Italy,41.9,12.483,Europe/Rome,20.0,68.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.7,30.27,0.0,49,0,1775560500
Madrid,Madrid,Spain,40.4,-3.683,Europe/Madrid,17.1,62.8,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,20.9,30.12,0.0,48,0,1775560500
Toronto,Ontario,Canada,43.667,-79.417,America/Toronto,-2.9,26.8,Light freezing rain,//cdn.weatherapi.com/weather/64x64/day/311.png,29.2,30.19,0.0,63,25,1775561400
Mexico City,The Federal District,Mexico,19.429,-99.128,America/Mexico_City,12.0,53.6,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,3.6,30.05,0.0,81,88,1775561400
Centro,Distrito Federal,Argentina,-34.6,-58.383,America/Argentina/Buenos_Aires,18.3,64.9,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,17.3,29.85,0.01,94,100,1775561400
